史料,分類,タイトル,読み,pos,画像,wikipedia,コトバンク
,,天墜砲式,,13,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=13,,
,,■雷式,,14,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=14,,
,,大蜂窠圖式,,15,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=15,,
,,■■圖式,,16,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=16,,
,,火樂桶式,,17,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=17,,
,,火（碑）式,,18,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=18,,
,,飛天噴筒,,19,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=19,,
,,■圖式,,20,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=20,,
,,■廣樂箭,,21,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=21,,
,,■箭式,,22,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=22,,
,,■箭式,,23,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=23,,
,,■■式,,24,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=24,,
,,,,25,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=25,,
,,,,26,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=26,,
